Lineage,ILMN_ID,GeneSymbol,Ensembl ID
Multi Potential Progenitor,ILMN_1229957,Il11ra1,ENSMUSG00000073889
Multi Potential Progenitor,ILMN_1224540,Adgrl4,ENSMUSG00000039167
Multi Potential Progenitor,ILMN_3163288,Egfl7,ENSMUSG00000026921
Multi Potential Progenitor,ILMN_1252310,Dnmt3b,ENSMUSG00000027478
Multi Potential Progenitor,ILMN_2659229,Rpl22,ENSMUSG00000028936
Multi Potential Progenitor,ILMN_2839745,A230050P20Rik,ENSMUSG00000038884
Multi Potential Progenitor,ILMN_2626143,Phpt1,ENSMUSG00000026941
Multi Potential Progenitor,ILMN_2639239,Serpinf1,ENSMUSG00000000753
Multi Potential Progenitor,ILMN_2727116,Sox4,ENSMUSG00000076431
Multi Potential Progenitor,ILMN_1241225,Dctd,ENSMUSG00000031562
Multi Potential Progenitor,ILMN_2732795,Myl10,ENSMUSG00000005474
Multi Potential Progenitor,ILMN_1230224,Dnajc6,ENSMUSG00000028528
Multi Potential Progenitor,ILMN_2707147,Rangrf,ENSMUSG00000032892
Multi Potential Progenitor,ILMN_1248401,Meis1,ENSMUSG00000020160
Multi Potential Progenitor,ILMN_2697760,Nkx2-3,ENSMUSG00000044220
Multi Potential Progenitor,ILMN_2942011,Robo4,ENSMUSG00000032125
Multi Potential Progenitor,ILMN_2973024,Fam216a,ENSMUSG00000029463
Multi Potential Progenitor,ILMN_2621038,Hoxa7,ENSMUSG00000038236
Multi Potential Progenitor,ILMN_2775064,Epb41l4b,ENSMUSG00000028434
Multi Potential Progenitor,ILMN_2536389,Gm10355,ENSMUSG00000072381
Multi Potential Progenitor,ILMN_2518412,Grb10,ENSMUSG00000020176
Multi Potential Progenitor,ILMN_2773215,Epb41l4b,ENSMUSG00000028434
Multi Potential Progenitor,ILMN_2450491,Tfr2,ENSMUSG00000029716
Multi Potential Progenitor,ILMN_3153225,Pomgnt2,ENSMUSG00000066235
Multi Potential Progenitor,ILMN_2721748,Pomgnt2,ENSMUSG00000066235
Multi Potential Progenitor,ILMN_1235324,Fam65a,ENSMUSG00000038604
Multi Potential Progenitor,ILMN_2632092,Ppp1r9a,ENSMUSG00000032827
Multi Potential Progenitor,ILMN_2759088,Odf3b,ENSMUSG00000047394
Multi Potential Progenitor,ILMN_3122845,H1fx,ENSMUSG00000044927
Multi Potential Progenitor,ILMN_1217978,Hoxa5,ENSMUSG00000038253
Multi Potential Progenitor,ILMN_1238412,Shmt1,ENSMUSG00000020534
Multi Potential Progenitor,ILMN_2796472,Vldlr,ENSMUSG00000024924
Multi Potential Progenitor,ILMN_2972478,Nlgn2,ENSMUSG00000051790
Multi Potential Progenitor,ILMN_1256528,Flywch2,ENSMUSG00000023911
Multi Potential Progenitor,ILMN_1259365,Emcn,ENSMUSG00000054690
Multi Potential Progenitor,ILMN_2860501,Lrrc49,ENSMUSG00000047766
Multi Potential Progenitor,ILMN_2683986,Macrod1,ENSMUSG00000036278
Multi Potential Progenitor,ILMN_1215919,Egfl7,ENSMUSG00000065540
Multi Potential Progenitor,ILMN_2515601,Vldlr,ENSMUSG00000024924
Multi Potential Progenitor,ILMN_1215372,Shank3,ENSMUSG00000022623
Multi Potential Progenitor,ILMN_2479681,Mex3a,ENSMUSG00000074480
Multi Potential Progenitor,ILMN_1218264,Vldlr,ENSMUSG00000024924
Multi Potential Progenitor,ILMN_2815594,Fam69b,ENSMUSG00000036186
Multi Potential Progenitor,ILMN_2641678,Bdh2,ENSMUSG00000028167
Multi Potential Progenitor,ILMN_2621643,Col4a1,ENSMUSG00000031502
Multi Potential Progenitor,ILMN_1225037,Arhgap32,ENSMUSG00000041444
Multi Potential Progenitor,ILMN_2704318,Tmem191c,ENSMUSG00000055692
Multi Potential Progenitor,ILMN_2822579,Col4a2,ENSMUSG00000031503
Multi Potential Progenitor,ILMN_2989955,Bmp1,ENSMUSG00000022098
Multi Potential Progenitor,ILMN_2740720,Gm5111,ENSMUSG00000052730
Multi Potential Progenitor,ILMN_2911307,Ppp1r26,ENSMUSG00000035829
Multi Potential Progenitor,ILMN_2425029,Phlda2,ENSMUSG00000010760
Multi Potential Progenitor,ILMN_2719908,Cyp2j9,ENSMUSG00000015224
Multi Potential Progenitor,ILMN_1247646,H1fx,ENSMUSG00000044927
Multi Potential Progenitor,ILMN_2759285,Thsd1,ENSMUSG00000031480
Multi Potential Progenitor,ILMN_2730909,Gprasp2,ENSMUSG00000072966
Multi Potential Progenitor,ILMN_2630772,Tceal5,ENSMUSG00000054034
Multi Potential Progenitor,ILMN_2641228,Hspa12b,ENSMUSG00000074793
Multi Potential Progenitor,ILMN_2743780,Ppp2r3a,ENSMUSG00000043154
Multi Potential Progenitor,ILMN_1228115,Six5,ENSMUSG00000040841
Multi Potential Progenitor,ILMN_2634933,Il17re,ENSMUSG00000043088
Multi Potential Progenitor,ILMN_2678218,Mmp2,ENSMUSG00000031740
Multi Potential Progenitor,ILMN_3096468,Gtf2ird1,ENSMUSG00000023079
Multi Potential Progenitor,ILMN_1228748,Foxa3,ENSMUSG00000040891
Multi Potential Progenitor,ILMN_2715226,Anxa9,ENSMUSG00000015702
Multi Potential Progenitor,ILMN_2433166,4933439C10Rik,ENSMUSG00000072893
Multi Potential Progenitor,ILMN_2627081,Dkkl1,ENSMUSG00000030792
Multi Potential Progenitor,ILMN_2901029,Zfp532,ENSMUSG00000042439
Multi Potential Progenitor,ILMN_1251371,Odf3b,ENSMUSG00000047394
Multi Potential Progenitor,ILMN_3163006,Il17re,ENSMUSG00000043088
Multi Potential Progenitor,ILMN_2669225,Tle2,ENSMUSG00000034771
Multi Potential Progenitor,ILMN_1235131,Gyltl1b,ENSMUSG00000040434
Multi Potential Progenitor,ILMN_3009469,Trip6,ENSMUSG00000023348
Multi Potential Progenitor,ILMN_2674122,Pkia,ENSMUSG00000027499
Multi Potential Progenitor,ILMN_3072957,Mex3a,ENSMUSG00000074480
Multi Potential Progenitor,ILMN_2445166,Vdr,ENSMUSG00000022479
Multi Potential Progenitor,ILMN_1258737,Smim6,ENSMUSG00000075420
Multi Potential Progenitor,ILMN_1242977,Hoxb5,ENSMUSG00000038700
Multi Potential Progenitor,ILMN_2677782,Pbx4,ENSMUSG00000031860
Multi Potential Progenitor,ILMN_1237729,Nefh,ENSMUSG00000020396
Multi Potential Progenitor,ILMN_1216709,Pbx4,ENSMUSG00000031860
Multi Potential Progenitor,ILMN_2619762,Mc5r,ENSMUSG00000007480
Multi Potential Progenitor,ILMN_2504368,Spag4,ENSMUSG00000038180
Multi Potential Progenitor,ILMN_1212997,Xkr5,ENSMUSG00000039814
Multi Potential Progenitor,ILMN_2438849,Zfp532,ENSMUSG00000042439
Multi Potential Progenitor,ILMN_2683305,Otos,ENSMUSG00000044055
Multi Potential Progenitor,ILMN_2972403,Them7,ENSMUSG00000055312
Multi Potential Progenitor,ILMN_2649671,Hif3a,ENSMUSG00000004328
Multi Potential Progenitor,ILMN_1257607,Zfp184,ENSMUSG00000006720
Multi Potential Progenitor,ILMN_2497745,Map9,ENSMUSG00000033900
Multi Potential Progenitor,ILMN_2697719,Sh2d5,ENSMUSG00000045349
Multi Potential Progenitor,ILMN_2671128,Dnah1,ENSMUSG00000019027
Multi Potential Progenitor,ILMN_2683244,Myo5c,ENSMUSG00000033590
Multi Potential Progenitor,ILMN_2645816,Cpxm1,ENSMUSG00000027408
Multi Potential Progenitor,ILMN_1220280,Tas1r1,ENSMUSG00000028950
Multi Potential Progenitor,ILMN_2445165,Vdr,ENSMUSG00000022479
Multi Potential Progenitor,ILMN_2995454,Six5,ENSMUSG00000040841
Multi Potential Progenitor,ILMN_3153940,Unc45b,ENSMUSG00000018845
Multi Potential Progenitor,ILMN_1248734,1500009L16Rik,ENSMUSG00000087651
Multi Potential Progenitor,ILMN_3001417,Alpk3,ENSMUSG00000038763
Multi Potential Progenitor,ILMN_2484695,Thsd1,ENSMUSG00000031480
Multi Potential Progenitor,ILMN_2450096,Zfp30,ENSMUSG00000047473
Multi Potential Progenitor,ILMN_2606700,Nfix,ENSMUSG00000001911
Multi Potential Progenitor,ILMN_1227845,Bpifb5,ENSMUSG00000038572
Multi Potential Progenitor,ILMN_2598083,Hoxb2,ENSMUSG00000075588
Multi Potential Progenitor,ILMN_1231030,Tcf15,ENSMUSG00000068079
Multi Potential Progenitor,ILMN_2613273,Kcnk12,ENSMUSG00000050138
Multi Potential Progenitor,ILMN_2813524,Zfp428,ENSMUSG00000064264
Multi Potential Progenitor,ILMN_2754447,Mkrn3,ENSMUSG00000070527
Multi Potential Progenitor,ILMN_2482178,Ociad2,ENSMUSG00000029153
Multi Potential Progenitor,ILMN_1234944,Cngb1,ENSMUSG00000031789
Multi Potential Progenitor,ILMN_1229577,Sstr2,ENSMUSG00000047904
Multi Potential Progenitor,ILMN_1232107,Bex2,ENSMUSG00000042750
Multi Potential Progenitor,ILMN_2728429,Zg16,ENSMUSG00000049350
Multi Potential Progenitor,ILMN_2457372,Trub1,ENSMUSG00000025086
Multi Potential Progenitor,ILMN_3118071,Pitx2,ENSMUSG00000028023
Multi Potential Progenitor,ILMN_2490536,Aldh5a1,ENSMUSG00000035936
Multi Potential Progenitor,ILMN_1214448,9030619P08Rik,ENSMUSG00000053168
Multi Potential Progenitor,ILMN_2943722,Ociad2,ENSMUSG00000029153
Multi Potential Progenitor,ILMN_2750035,Nrxn1,ENSMUSG00000024109
Multi Potential Progenitor,ILMN_2988849,Gyltl1b,ENSMUSG00000040434
Multi Potential Progenitor,ILMN_2903972,Pdgfrb,ENSMUSG00000024620
Multi Potential Progenitor,ILMN_2773835,Smad6,ENSMUSG00000036867
Multi Potential Progenitor,ILMN_1235822,Lrrc36,ENSMUSG00000054320
Multi Potential Progenitor,ILMN_2860850,Pcsk4,ENSMUSG00000020131
Multi Potential Progenitor,ILMN_1246518,Rfx8,ENSMUSG00000057173
Multi Potential Progenitor,ILMN_1228029,Nkx2-3,ENSMUSG00000044220
Multi Potential Progenitor,ILMN_2495299,Zdhhc1,ENSMUSG00000039199
Multi Potential Progenitor,ILMN_2594009,Fgd1,ENSMUSG00000025265
Multi Potential Progenitor,ILMN_2453954,Mb21d2,ENSMUSG00000051065
