"id"	"name"	"type"	"file"
1	"PeripheralBlood1"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood1_rm.batch_dge.txt.gz"
2	"PeripheralBlood2"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood2_rm.batch_dge.txt.gz"
3	"PeripheralBlood3"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood3_rm.batch_dge.txt.gz"
4	"PeripheralBlood4"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood4_rm.batch_dge.txt.gz"
5	"PeripheralBlood5"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood5_rm.batch_dge.txt.gz"
6	"PeripheralBlood6"	"PeripheralBlood"	"./MCA/MCA_All-batch-removed/PeripheralBlood6_rm.batch_dge.txt.gz"
7	"BoneMarrow1"	"BoneMarrow"	"./MCA/MCA_All-batch-removed/BoneMarrow1_rm.batch_dge.txt.gz"
8	"BoneMarrow2"	"BoneMarrow"	"./MCA/MCA_All-batch-removed/BoneMarrow2_rm.batch_dge.txt.gz"
9	"BoneMarrow3"	"BoneMarrow"	"./MCA/MCA_All-batch-removed/BoneMarrow3_rm.batch_dge.txt.gz"
10	"BoneMarrow4"	"BoneMarrow"	"./MCA/MCA_All-batch-removed/BoneMarrow4_rm.batch_dge.txt.gz"
11	"BoneMarrow5"	"BoneMarrow"	"./MCA/MCA_All-batch-removed/BoneMarrow5_rm.batch_dge.txt.gz"
12	"BoneMarrowcKit1"	"BoneMarrowcKit"	"./MCA/MCA_All-batch-removed/BoneMarrowcKit1_rm.batch_dge.txt.gz"
13	"BoneMarrowcKit2"	"BoneMarrowcKit"	"./MCA/MCA_All-batch-removed/BoneMarrowcKit2_rm.batch_dge.txt.gz"
14	"BoneMarrowcKit3"	"BoneMarrowcKit"	"./MCA/MCA_All-batch-removed/BoneMarrowcKit3_rm.batch_dge.txt.gz"
